ts,node,machine_type,lifecycle,compute_class
2026-07-24T06:00:00Z,default-1,e2-standard-4,on-demand,-
2026-07-24T06:00:30Z,default-1,e2-standard-4,on-demand,-
2026-07-24T06:00:30Z,spot-a,t2d-standard-8,spot,batch-cpu
2026-07-24T06:00:30Z,spot-b,t2d-standard-8,spot,batch-cpu
2026-07-24T06:01:00Z,default-1,e2-standard-4,on-demand,-
2026-07-24T06:01:00Z,spot-a,t2d-standard-8,spot,batch-cpu
2026-07-24T06:01:00Z,spot-b,t2d-standard-8,spot,batch-cpu
2026-07-24T06:01:00Z,spot-c,t2d-standard-8,spot,batch-cpu
2026-07-24T06:01:00Z,spot-d,t2d-standard-8,spot,batch-cpu
2026-07-24T06:01:30Z,default-1,e2-standard-4,on-demand,-
2026-07-24T06:01:30Z,spot-a,t2d-standard-8,spot,batch-cpu
2026-07-24T06:01:30Z,spot-b,t2d-standard-8,spot,batch-cpu
2026-07-24T06:01:30Z,spot-c,t2d-standard-8,spot,batch-cpu
2026-07-24T06:01:30Z,spot-d,t2d-standard-8,spot,batch-cpu
2026-07-24T06:02:00Z,default-1,e2-standard-4,on-demand,-
2026-07-24T06:02:00Z,spot-a,t2d-standard-8,spot,batch-cpu
2026-07-24T06:02:00Z,spot-b,t2d-standard-8,spot,batch-cpu
